title,sex,age,code,jobs
谢永林,男,50,000001,"董事长,执行董事"
title,sex,age,code,jobs
胡跃飞,男,56,000001,执行董事
title,sex,age,code,jobs
郭世邦,男,53,000001,执行董事
title,sex,age,code,jobs
姚贵平,男,57,000001,执行董事
title,sex,age,code,jobs
姚波,男,47,000001,非执行董事
title,sex,age,code,jobs
叶素兰,女,62,000001,非执行董事
title,sex,age,code,jobs
陈心颖,女,41,000001,非执行董事
title,sex,age,code,jobs
蔡方方,女,44,000001,非执行董事
title,sex,age,code,jobs
郭建,男,54,000001,非执行董事
title,sex,age,code,jobs
王春汉,男,67,000001,独立董事
title,sex,age,code,jobs
王松奇,男,66,000001,独立董事
title,sex,age,code,jobs
韩小京,男,63,000001,独立董事
title,sex,age,code,jobs
郭田勇,男,50,000001,独立董事
title,sex,age,code,jobs
杨如生,男,50,000001,独立董事
